Experiment_Recode,N Rows,Lat_WS,Lon_WS,Mean(Latitude_of_Field_Corner_#1 (lower left)),Mean(Longitude_of_Field_Corner_#1 (lower left)),Euclidian1,Euclidian2
ARH1,942,34.728344202,-90.7598945,34.729539101,-90.76029715,0,1.1208284926
ARH2,909,35.719437052,-90.23645255,35.718864691,-90.23543529,1.1208284926,0
COH1,328,40.649721372,-104.998305,40.648455305,-104.9986604,15.420604473,15.563418402
DEH1,6612,38.642074613,-75.44501257,38.641974151,-75.45551634,15.807052042,15.077417122
GAH1,3920,31.506337072,-83.55690642,31.507263033,-83.55747507,7.8907773527,7.8972493931
GAH2,3136,33.720763108,-83.30664964,33.720276013,-83.30689514,7.5210423899,7.2122719001
GEH1,1484,51.494959423,9.915940872,51.494835822,9.9158002109,102.06244762,101.38722314
IAH1,5779,41.397237682,-92.03775438,41.316292167,-91.81472707,6.7902184151,5.9566860141
IAH2,4969,42.064944838,-94.72360807,42.065055168,-94.72337333,8.338868878,7.7717458598
IAH3,4709,41.979771923,-92.24749483,41.977515272,-92.24404747,7.4024427541,6.5754150995
IAH4,6481,41.920671003,-93.48376374,41.937031894,-93.52927244,7.6908405566,7.0000237489
ILH1,3717,40.070938016,-88.23075952,40.071681081,-88.23026212,5.9109925066,4.7914888274
INH1,4178,40.479395737,-86.99782679,40.478385231,-86.99781642,6.872244701,5.7572479126
KSH1,1057,38.803815968,-97.76768431,38.80345877,-97.76894471,8.1067001987,8.1383564102
MIH1,3620,42.702899607,-84.47627987,42.683923398,-84.46264885,10.152701452,9.0525321668
MNH1,5260,44.070693224,-93.52410969,44.068870456,-93.53101245,9.7427086,8.975086022
MOH1,5704,38.89633325,-92.20860491,38.896123611,-92.20841415,4.41258366,3.7392585322
MOH2,2047,38.921729593,-92.3227853,38.92153815,-92.31819137,4.4751657727,3.8219709384
NCH1,6155,35.653457726,-77.92786569,35.669004439,-77.9430719,12.865333208,12.308763705
NEH1,2694,40.916649475,-96.57006669,40.919180844,-96.56779504,8.4884169898,8.1930266065
NEH2,2436,41.051925948,-100.7498271,41.117587245,-99.90233267,11.823131525,11.788404548
NEH3,2207,41.105459037,-101.2092087,41.10251848,-100.8171442,12.241558748,12.223363285
NEH4,760,41.159394,-96.414561,41.166072662,-96.41564342,8.5635071501,8.2317771814
NYH1,1681,42.728794007,-76.65163032,42.728905316,-76.65243556,16.21882595,15.286545716
NYH2,3921,42.731515992,-76.65394848,42.731389223,-76.65308391,16.218152546,15.285734138
NYH3,3559,42.731185626,-76.65480152,42.730933049,-76.65348277,16.217247575,15.284824596
NYS1,44,42.7331985,-76.653082,42.73192,-76.651739,16.219736475,15.287275927
OHH1,3298,39.952333778,-83.48178778,39.952350998,-83.48175154,8.9588450479,7.9713807429
ONH1,1013,43.497750864,-80.44083232,43.497694813,-80.44388704,13.541991636,12.508250936
ONH2,1557,42.538441207,-82.91379072,42.452933844,-81.88242263,11.070635022,10.006007896
ONH3,1266,45.38248065,-75.71411532,,,18.435999964,17.443413953
SCH1,3018,34.622540897,-82.73714849,34.622217505,-82.73723613,8.0234436469,7.5790990668
SDH1,329,44.208912,-102.929751,44.20888,-102.92972,15.426813441,15.270592992
TXH1,4677,30.54463269,-96.4315042,30.544683042,-96.4327322,7.0477371263,8.0720050234
TXH2,3072,31.181517539,-97.39854309,30.54258165,-96.430893,7.5267280048,8.478694142
TXH3,1718,30.540832043,-96.4294787,30.542741787,-96.43022763,7.0483645696,8.0728881281
TXH4,628,33.5778,-101.8553,,,11.154899153,11.814576811
WIH1,4359,43.056861049,-89.51148831,43.056750252,-89.53016261,8.4215622598,7.3731515697
WIH2,7252,43.309663585,-89.36946625,43.32120969,-89.36032543,8.6932349034,7.6395814075
WIH3,2177,44.115520629,-89.54796207,44.116131979,-89.54760861,9.4650864497,8.424264869
